,district,neighborhood,Latitude,Longitude
0,I,Gellérthegy,47.4920639,19.0372001
1,I,Krisztinaváros,47.4968655,19.0297756
2,I,Tabán,47.4916132,19.043169
3,I,Vár,47.4953335,19.0395462
4,I,Víziváros,47.5037188,19.0391283
5,II,Adyliget,47.5475499,18.9389837
6,II,Budakeszierdő,47.54247065,18.97290258086081
7,II,Budaliget,47.5675791,18.940664
8,II,Csatárka,47.5315247,19.002578
9,II,Erzsébetliget,47.5617139,18.9675585
10,II,Erzsébettelek,47.544978,18.9573716
11,II,Felhévíz,47.5181319,19.0359332
12,II,Gercse,47.5674644,18.9857445
13,II,Hársakalja,47.5513777,18.9665408
14,II,Hárshegy,47.5335359,18.9587614
15,II,Hűvösvölgy,47.5405884,18.9645168
16,II,Kővár,47.5572332,18.9820325
17,II,Kurucles,47.5231241,18.9736967
18,II,Lipótmező,47.5314476,18.9757923
19,II,Máriaremete,47.5588069,18.9452667
20,II,Nyék,47.5355021,18.9877664
21,II,Országút,47.5117089,19.0272866
22,II,Pálvölgy,47.5347798,19.0118783
23,II,Pasarét,47.5202876,18.9973722
24,II,Pesthidegkút-Ófalu,47.5697787,18.9612574
25,II,Petneházyrét,47.5372112,18.9411158
26,II,Remetekertváros,47.5520311,18.9565755
27,II,Rézmál,47.5166719,19.0194603
28,II,Rózsadomb,47.5173286,19.0282878
29,II,Szemlőhegy,47.5243288,19.0281792
30,II,Széphalom,47.5600381,18.9596381
31,II,Szépilona,47.5192173,18.9904493
32,II,Szépvölgy,47.5416059,19.0005815
33,II,Törökvész,47.5220975,19.0030829
34,II,Újlak,47.5288548,19.0372981
35,II,Vérhalom,47.5239802,19.0154929
36,II,Víziváros,47.5037188,19.0391283
37,II,Zöldmál,47.5272253,19.0155523
38,III,Aquincum,47.5663019,19.0473599
39,III,Aranyhegy-Ürömhegy-Péterhegy,47.5747322,19.0274835
40,III,Békásmegyer,47.5686915,19.027668183360795
41,III,Csillaghegy,47.5861629,19.0507049
42,III,Csúcshegy,47.5742138,18.9949172
43,III,Hármashatárhegy,47.5586244,19.0026009
44,III,Harsánylejtő,47.5704466,19.0041575
45,III,Kaszásdűlő,47.5609579,19.038223
46,III,Mocsárosdűlő,47.5730292,19.0400748
47,III,Óbuda,47.5385916,19.0395611
48,III,Óbuda hegyvidéke,47.5501607,19.0119143
49,III,Óbudai-sziget,47.5531287,19.0543244
50,III,Rómaifürdő,47.574878,19.0643655
51,III,Solymárvölgy,47.578406,19.001923
52,III,Újlak,47.5288548,19.0372981
53,IV,Istvántelek,47.5502185,19.1044666
54,IV,Káposztásmegyer,47.6059039,19.0951833
55,IV,Megyer,47.57734,19.1097683
56,IV,Népsziget,47.5616052,19.0724388
57,IV,Székesdűlő,47.6101079,19.1062308
58,IV,Újpest,47.57777895,19.093163614886215
59,V,Belváros,47.500335500000006,19.048971020241996
60,V,Lipótváros,47.500335500000006,19.048971020241996
61,VI,Terézváros,47.5032503,19.0643957
62,VII,Erzsébetváros,47.5028137,19.077359065782545
63,VIII,Corvin-negyed,47.487069,19.0743142
64,VIII,Csarnoknegyed,47.4887889,19.08643352262196
65,VIII,Ganznegyed,47.4887889,19.08643352262196
66,VIII,Kerepesdűlő,47.4973758,19.09167
67,VIII,Losoncinegyed,47.4887889,19.08643352262196
68,VIII,Magdolnanegyed,47.4887889,19.08643352262196
69,VIII,Népszínháznegyed,47.4887889,19.08643352262196
70,VIII,Orczynegyed,47.4887889,19.08643352262196
71,VIII,Palotanegyed,47.492185,19.0661028
72,VIII,Századosnegyed,47.4887889,19.08643352262196
73,VIII,Tisztviselőtelep,47.4806738,19.097577
74,IX,Belső-Ferencváros,47.48913695,19.061714595548057
75,IX,József Attila-lakótelep,47.4708139,19.1108952
76,IX,Középső-Ferencváros,47.4688259,19.06743592239726
77,IX,Külső-Ferencváros,47.4502651,19.0971338
78,X,Felsőrákos,47.4952105,19.1744548
79,X,Gyárdűlő,47.4739178,19.1178023
80,X,Keresztúridűlő,47.4740896,19.1863957
81,X,Kőbánya-Kertváros,47.4826961,19.2002952
82,X,Kúttó,47.4658243,19.125694
83,X,Laposdűlő,47.4927492,19.1144828
84,X,Ligettelek,47.502803,19.1350725
85,X,Népliget,47.4787886,19.108735
86,X,Óhegy,47.4804563,19.1453633
87,X,Téglagyárdűlő,47.4834581,19.1688594
88,X,Újhegy,47.4683804,19.1660839
89,XI,Albertfalva,47.4472941,19.0342952
90,XI,Dobogó,47.4589981,19.0041625
91,XI,Gazdagrét,47.4701163,18.9986749
92,XI,Gellérthegy,47.4845654,19.038769
93,XI,Hosszúrét,47.4661016,18.9973798
94,XI,Infopark,47.4704841,19.0603378
95,XI,Kamaraerdő,47.4300656,18.9869244
96,XI,Kelenföld,47.4642992,19.0206155
97,XI,Kelenvölgy,47.4477776,19.0243881
98,XI,Kőérberek,47.4414771,18.9958115
99,XI,Lágymányos,47.47844135,19.057715354417404
100,XI,Madárhegy,47.4677382,18.9885881
101,XI,Nádorkert,47.4675603,19.0560655
102,XI,Őrmező,47.4611541,19.015881
103,XI,Örsöd,47.4602945,18.9869167
104,XI,Péterhegy,47.4487141,19.0111469
105,XI,Pösingermajor,47.4755654,18.9802146
106,XI,Sasad,47.4760764,19.0064431
107,XI,Sashegy,47.4807204,19.0200262
108,XI,Spanyolrét,47.4662884,18.9823521
109,XI,Szentimreváros,47.479064,19.0387155
110,XII,Budakeszierdő,47.5102729,18.9511817
111,XII,Csillebérc,47.4889394,18.9656933
112,XII,Farkasrét,47.4843007,18.998835
113,XII,Farkasvölgy,47.4834414,18.9880851
114,XII,Istenhegy,47.5079914,18.9955934
