,office,university,cafe
0,4,3,3
1,17,5,7
2,2,1,3
3,3,4,8
4,4,3,8
5,0,0,0
6,0,0,0
7,0,1,0
8,0,1,0
9,0,0,0
10,1,0,0
11,1,3,3
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,1,0
18,1,1,1
19,0,0,0
20,0,0,0
21,18,3,11
22,5,0,0
23,3,2,2
24,0,0,0
25,0,0,0
26,0,0,0
27,1,1,0
28,8,2,0
29,0,0,0
30,0,1,0
31,1,17,0
32,0,0,0
33,0,1,0
34,57,2,9
35,5,2,1
36,4,3,8
37,1,0,0
38,1,0,0
39,0,0,0
40,2,0,0
41,0,4,1
42,0,0,0
43,0,0,0
44,0,1,0
45,5,0,0
46,0,0,0
47,4,2,0
48,0,0,0
49,0,0,0
50,0,0,0
51,0,0,0
52,57,2,9
53,1,0,0
54,0,1,0
55,0,1,0
56,0,0,0
57,0,0,0
58,1,0,0
59,46,15,16
60,46,15,16
61,24,10,23
62,3,13,4
63,31,2,11
64,2,8,0
65,2,8,0
66,1,0,8
67,2,8,0
68,2,8,0
69,2,8,0
70,2,8,0
71,6,49,13
72,2,8,0
73,6,2,1
74,21,25,15
75,2,5,1
76,0,4,1
77,2,1,0
78,0,0,0
79,2,1,0
80,0,0,0
81,0,0,0
82,5,2,1
83,2,6,0
84,6,9,6
85,0,1,0
86,0,0,0
87,1,0,0
88,1,1,0
89,0,2,0
90,0,0,0
91,0,5,1
92,2,4,0
93,0,0,0
94,33,49,2
95,0,0,0
96,0,2,1
97,0,1,0
98,0,0,0
99,4,61,1
100,0,0,0
101,11,2,2
102,0,3,0
103,0,0,0
104,0,0,0
105,0,0,0
106,1,1,0
107,0,0,0
108,2,0,0
109,4,13,0
110,0,0,0
111,0,0,0
112,0,0,0
113,0,0,0
114,2,0,0
115,0,0,0
116,0,0,0
117,16,4,2
118,1,0,0
119,0,0,0
120,0,6,0
121,15,5,2
122,0,0,0
123,2,4,0
124,1,1,2
125,0,1,0
126,0,2,0
127,0,0,0
128,0,0,0
129,0,0,0
130,19,3,0
131,30,4,2
132,0,0,0
133,0,0,0
134,4,1,1
135,6,7,0
136,0,9,0
137,0,2,0
138,1,3,0
139,0,3,1
140,0,1,0
141,0,2,0
142,1,0,0
143,1,1,0
144,0,0,0
145,0,1,0
146,1,0,0
147,0,0,0
148,0,0,0
149,0,1,0
150,0,0,0
151,0,0,0
152,0,0,0
153,0,1,0
154,0,0,0
155,0,1,0
156,0,0,0
157,0,0,0
158,0,0,0
159,0,0,0
160,0,1,0
161,0,0,0
162,0,0,0
163,5,0,5
164,0,1,0
165,0,0,0
166,0,4,0
167,0,0,0
168,0,1,0
169,0,0,0
170,0,0,0
171,0,0,0
172,0,0,0
173,1,0,0
174,0,0,0
175,0,0,0
176,0,0,0
177,0,0,0
178,0,0,0
179,1,0,0
180,0,0,0
181,0,0,0
182,0,0,0
183,0,2,0
184,1,11,0
185,0,0,0
186,0,0,0
187,0,2,0
188,0,0,0
189,0,1,0
190,0,1,0
191,1,1,1
192,0,1,0
193,1,0,0
194,0,0,0
195,0,0,0
196,0,0,0
197,0,0,0
198,0,0,0
199,0,0,0
200,0,0,0
201,0,0,0
202,0,0,0
203,0,1,0
204,0,1,0
205,0,0,0
206,0,0,0
207,0,0,0
208,0,0,0
